suite,resolved,denominator,resolved_percent,mean_original_accepted_e2e_s,scope
lite,100,300,33.333333333333336,160.96196777904336,published historical aggregate; not new production or tuning data
verified,198,500,39.6,147.330762287608,published historical aggregate; not new production or tuning data
