operation_class,events,total_wall_ms,median_wall_ms,max_wall_ms
patch,3,574.49659,190.731866,197.929055
read,8,1500.010431,186.50529,196.514943
search,1,763.689992,763.689992,763.689992
shell,12,4423.674594000001,390.749148,726.132375
test,1,157.743502,157.743502,157.743502
traversal,15,11071.996522000001,202.13793,7374.687322
