run_id,instance_id,category,official_resolved,outcome_match_mode,outer_fold,observed_tool_wall_ms,observed_gpu_proxy_wall_ms,observed_e2e_ms,proxy_ratio,e2e_model_within25,predicted_tool_wall_ms,predicted_gpu_proxy_wall_ms,predicted_e2e_ms
assignment-case-v1:e24c9b60fa819f46e7fa04b15ee46a41184e7852fce39fa705df63e2853b69fb,django__django-16116,django/django,True,exact_run_id,4,6981.90071699355,39269.749188,94385.955392,0.17779336159160064,False,8706.477395011461,19033.337498999997,124919.82762699999
assignment-case-v1:e3141317086e0fea67faa9aa4c06315bebddfc0ca49f5655927cfee638f19f57,django__django-14155,django/django,False,exact_run_id,4,13675.610778009286,45839.31997499999,114589.417339,0.2983379942256503,True,11557.147738640197,19033.337498999997,124919.82762699999
assignment-case-v1:e3b0167992e5f5d9e4eb42a20241f768c36b7347ae2a10c1ca54aacb25bf746f,django__django-13710,django/django,True,exact_run_id,0,6556.3441069934925,48851.17969700001,110731.756968,0.1342105584278474,True,8946.270254013143,19137.542820999995,125970.234473
assignment-case-v1:e3f8d5c8d945837b3cdb498493a2bd9ff249471d8d19bd21c1ff562ac833d918,django__django-12143,django/django,True,exact_run_id,2,21671.716236014618,48453.941251,124746.435591,0.4472642612032588,True,9760.01759713472,19162.8857395,125168.74167399999
assignment-case-v1:e42d731af13d089206387006408d224b38ad2b14d5c7875f24f870fe9dd8c19a,sympy__sympy-21171,sympy/sympy,False,exact_run_id,0,18754.084740005055,35073.80330700001,99187.091852,0.5347034815657453,False,10478.164786542038,18520.202729999997,125970.234473
assignment-case-v1:e4798686196b4e0a621f3d4e8e7e5fd53ab7e323538cb1b18f70333b74f3b9a5,django__django-14765,django/django,True,exact_run_id,2,12286.221878021024,42694.312687,102454.401804,0.287771862451414,True,8686.758633326463,19162.8857395,125168.74167399999
assignment-case-v1:e4a9167152c2b68620324d2df439ca46d6d4b60f6625fa0dedab555c8fbd53bc,matplotlib__matplotlib-26466,matplotlib/matplotlib,False,exact_run_id,0,37393.45434298593,34990.33558200001,189506.881748,1.0686795002395506,False,8031.274420000045,19137.542820999995,125970.234473
assignment-case-v1:e4ddb13bd8f26c7ed61367a0844761301b43b9d7458f0903cd3657005274a5d4,astropy__astropy-14182,astropy/astropy,False,exact_run_id,2,7728.668009985995,27812.293636999995,96425.271024,0.27788675435614507,False,6247.048935840212,19162.8857395,125168.74167399999
assignment-case-v1:e52c33cdd2fc7d9437665fbd3be037109f246c47519e9cd1c34b953adb4feee7,matplotlib__matplotlib-23964,matplotlib/matplotlib,True,exact_run_id,1,49845.74005000832,34390.568548999996,204148.664258,1.4494014537441464,False,8521.024609672168,14768.989511999996,124452.596539
assignment-case-v1:e55921dd6a9280a7c83fe90742330deaf3694f706563f3bde736f92978caf8b1,sympy__sympy-24539,sympy/sympy,True,exact_run_id,4,11188.010077050421,38981.41722000001,96742.665986,0.28700880765592696,False,11883.297132650114,17805.380240999995,124919.82762699999
assignment-case-v1:e5dc247216f3407564e65c96bac2411ce57c70b4da13210359b1d21be9225ed0,django__django-13033,django/django,False,exact_run_id,3,6563.485009042779,124517.67433600001,210959.01774,0.052711272066741234,False,4361.300738488353,14143.310190000004,124252.1253105
assignment-case-v1:e6cbd6e25fbb8593a31b77dae2bcfa6866664ed1f610d084c6642104a6b1e056,sympy__sympy-13773,sympy/sympy,False,exact_run_id,1,19749.34658195707,36033.987815,121268.4527,0.5480755192389763,True,8272.064762182708,19076.611453,124452.596539
assignment-case-v1:e7e22fdd4d738e72a4d372dde587d8a0a45bd855e0454107c9f8e4edd12a6e4e,pytest-dev__pytest-5809,pytest-dev/pytest,True,exact_run_id,2,94875.92364894226,30074.440323000003,229725.611617,3.154702884907357,False,9459.41078632859,19162.8857395,125168.74167399999
assignment-case-v1:e871e37eb54f88abe2eb5283d3fa42efb75d18d2319df9861c57ec46634a8b20,sympy__sympy-24909,sympy/sympy,False,exact_run_id,3,11436.56390603428,40820.944729,145413.604893,0.28016411628782123,True,7848.140942549435,19062.72243000001,124252.1253105
assignment-case-v1:e99e9eb435602e0bcfbccd1d1ff5f73496bdb04e6709114dcb6cccc0e7d4bb72,sympy__sympy-14396,sympy/sympy,False,exact_run_id,2,14859.618298007263,32707.897287,110966.872896,0.4543128580727606,True,8835.298650607001,19162.8857395,125168.74167399999
assignment-case-v1:ea499ee155b4c4ae333d3f5ec30d04822af0f5790869fd7a4f3e948738dd5e3c,django__django-15819,django/django,False,exact_run_id,2,6841.156134018092,43418.16854400001,106678.537211,0.15756436449145153,True,6740.719140409055,19162.8857395,125168.74167399999
assignment-case-v1:ea8c504259bb654aaee75bff500d44aa5d2b2edf42ca5d7204644a628d97ba41,astropy__astropy-8707,astropy/astropy,True,exact_run_id,0,11428.200903028483,43839.534264999995,118753.138639,0.26068253448924916,True,8460.198315498928,19137.542820999995,125970.234473
assignment-case-v1:eab1b5ed04a17add724481b72ffb5b185a97be4271d9f7db2e11c19f9683cfd6,django__django-16816,django/django,False,exact_run_id,3,2095.909833034966,6699.150172000001,1179394.532684,0.31286204656153305,False,1948.84203224683,6149.265299999998,124252.1253105
assignment-case-v1:eb8a6cd9dc0d53d1539e37cb3554de218694949693c6be59f2cb6b57e513f067,django__django-16255,django/django,True,exact_run_id,2,9550.964704991202,90895.85904999998,172264.240604,0.10507590560024752,False,11016.713178667487,19162.8857395,125168.74167399999
assignment-case-v1:ebbe0c2bfa75cefd8afda1e98d0637f92d5a59c5eddaadaf1d3aed3c6c0e5e5a,django__django-14667,django/django,False,exact_run_id,4,7349.428000004991,47338.547967,127952.762305,0.15525250172709826,True,7217.543979260881,19033.337498999997,124919.82762699999
assignment-case-v1:ec1a1f5ec2579ead434cbd990ccae69f5a68e30272a361e0593ce991d14b2395,django__django-14631,django/django,False,exact_run_id,2,18727.968628008966,46603.925545000006,112618.515918,0.40185388696335334,True,8393.884270861236,19162.8857395,125168.74167399999
assignment-case-v1:ee3b762c3f310d8c26ba1c4137762fdc596da5a103684811cd02568a86bebc1d,matplotlib__matplotlib-13989,matplotlib/matplotlib,True,exact_run_id,3,16061.629128002096,35098.266926,109245.457593,0.45761886653451844,True,8842.727063505663,19062.72243000001,124252.1253105
assignment-case-v1:efc5abf77617ac555f376e03a2b97eb1bb3a2eaf9efbe0be15ddefc93dad913a,django__django-11532,django/django,False,exact_run_id,1,15552.183868996508,39510.171761,121962.44297,0.39362481041775366,True,8173.981961386744,19076.611453,124452.596539
assignment-case-v1:f00ccb5d293f81f52229cf10b6036ee73903cb4bbc1540ae5afe95bc960d04af,django__django-10914,django/django,True,exact_run_id,4,7960.042446007719,131132.36653200001,205747.323644,0.06070234722764073,False,8443.752026632865,17191.401611999994,124919.82762699999
assignment-case-v1:f0c78f0a748bdbb2074f7301a89208ebb7b54c119f6ed4280de5d2fb305b6799,django__django-13448,django/django,False,exact_run_id,1,9123.872637002933,50880.53606400001,147697.44727,0.179319506884253,True,8511.942568387894,19076.611453,124452.596539
assignment-case-v1:f11e018669284ec8ee050991d068c46b443af70590e9abd4afe77a6a1063c068,django__django-16938,django/django,False,exact_run_id,4,71151.88936900086,31834.565676000002,164073.378115,2.2350513618799606,True,8607.789084560864,19033.337498999997,124919.82762699999
assignment-case-v1:f137ca8b39ec593fe336f918e13999337d76b68bd2b4fb9298f4fefa3725e02e,django__django-15128,django/django,False,exact_run_id,3,10990.530008020869,38246.603311000006,95600.655839,0.28735963606106457,False,9276.824640257473,19062.72243000001,124252.1253105
assignment-case-v1:f1f08fb8c2a1c39e2d417507f98b71b523b2b38a978c2ead08ad950dbfd06286,matplotlib__matplotlib-24570,matplotlib/matplotlib,False,exact_run_id,2,14531.328411016148,47920.24623,103584.702907,0.303239852760167,True,5563.403543068489,11744.994485500001,125168.74167399999
assignment-case-v1:f1f7abbd07d92360ad329b832f209e9e9a6901162dbb61e6bc20263382bb5750,django__django-14155,django/django,False,exact_run_id,4,10271.540519006521,48183.35287099999,141411.108725,0.21317612633778815,True,11449.354272372148,19033.337498999997,124919.82762699999
assignment-case-v1:f2963397443789c0c59955ff14804ecf287dd38e0c1a1bb0ba9c71ac2f408251,django__django-15996,django/django,True,exact_run_id,3,7132.789333005348,57291.65767800001,219747.322449,0.12449961516376823,False,11284.51900877917,19062.72243000001,124252.1253105
assignment-case-v1:f31b735961db4646a1738d97a56c19b8cd3082462a87154701451cae02683eff,matplotlib__matplotlib-22871,matplotlib/matplotlib,False,exact_run_id,0,22861.037725982897,47036.23089499999,260713.411607,0.4860303916998811,False,9012.268042015421,19137.542820999995,125970.234473
assignment-case-v1:f61f392239c79a4da8e54e9fb813ac74e41b7ae264093db82f105f79aad980c2,django__django-11815,django/django,True,exact_run_id,4,13861.436850995233,86533.34956100001,145269.579217,0.1601860660810764,True,9980.055794658256,19033.337498999997,124919.82762699999
assignment-case-v1:f6823c9d6e998acb9d32732a907a882d092b046b39fdf7ced2de2dd56d1d2a46,scikit-learn__scikit-learn-13779,scikit-learn/scikit-learn,True,exact_run_id,0,13284.161204952397,35016.84360200001,92567.117468,0.3793648952469738,False,7360.283887746846,12964.141911,125970.234473
assignment-case-v1:f6982513b6d62485fdf626518a5f021e33fc58c4d54be1f4bd0de1758ee58fec,django__django-15790,django/django,True,exact_run_id,4,9357.343781994132,44355.04170699999,118269.054514,0.21096460338842116,True,9116.455145394866,19033.337498999997,124919.82762699999
assignment-case-v1:f6adeed8516729b5df24a97623f6a09c3d2b656b0bcfd51b379e7436d75bfb71,sphinx-doc__sphinx-7440,sphinx-doc/sphinx,True,exact_run_id,0,44145.08667800692,35390.248183,128139.870163,1.2473799689037608,True,7347.604015247271,19137.542820999995,125970.234473
assignment-case-v1:f6cd4c89889727fdcb8d7cda2ec7f4c6107a02c29481ea3092562944089b0583,django__django-13964,django/django,False,exact_run_id,4,4222.8215559443925,70629.526271,134493.359641,0.05978833186197165,True,3988.393788362373,11665.593950999997,124919.82762699999
assignment-case-v1:f6d860570ddf721bde33f6b2bfe64f47c05139e10062b63aec9f202ccd63168d,django__django-16100,django/django,True,exact_run_id,0,7104.756250992068,56445.91474200001,109606.93819,0.12586838717143856,True,9058.433964244614,19137.542820999995,125970.234473
assignment-case-v1:f6ee9bf57419826e5843b7bca7ff7582d5cca9dc0d9e4096c1c7dc8d8fbb2156,matplotlib__matplotlib-22719,matplotlib/matplotlib,True,exact_run_id,0,15220.851758989738,37017.009572999996,119130.514921,0.4111853424835199,True,9445.429039758892,19137.542820999995,125970.234473
assignment-case-v1:f70b7000c10162a79673810483df303a1f6d5c22f3494c63f7b9d8de54690fe9,django__django-15277,django/django,True,exact_run_id,2,9493.639562017052,42524.23591,99924.107787,0.22325244319756316,False,9893.087995142196,19162.8857395,125168.74167399999
assignment-case-v1:f7447e96bd5eebb60e03289f09af9495344bc3ea782937656479f12599495e6a,sympy__sympy-20154,sympy/sympy,True,exact_run_id,2,14442.425099026877,38964.197838,117541.742945,0.37065885865464526,True,9820.96951931453,14217.624903500002,125168.74167399999
assignment-case-v1:f80866fb98b2655d4c79a897f7c940abde4e6d49895cd26973a4e718b6d35ecb,django__django-13121,django/django,False,exact_run_id,3,77253.169891992,31974.886240000003,183872.348997,2.4160576932827267,False,7149.77845199428,19062.72243000001,124252.1253105
