suite,resolved_numerator,suite_denominator,resolved_percent,mean_original_accepted_e2e_s,population
lite,100,300,33.333333,160.961968,published historical full-suite aggregate; all completed cases for latency; evaluator excluded
verified,198,500,39.600000,147.330762,published historical full-suite aggregate; all completed cases for latency; evaluator excluded
