pair_id,parameter,setting,baseline_e2e_s,treatment_e2e_s,delta_treatment_minus_baseline_s,baseline_resolved,treatment_resolved
b7b17a1cef28,max_output_tokens,512,228.009102,98.134563,-129.874539,true,false
53cb4f1183e3,max_output_tokens,1024,192.600731,174.763909,-17.836822,true,true
53cb4f1183e3,max_output_tokens,4096,192.600731,418.836239,226.235508,true,true
53cb4f1183e3,max_output_tokens,512,192.600731,235.604668,43.003937,true,false
6c637725ea1a,max_output_tokens,1024,103.082299,102.849055,-0.233244,false,false
6c637725ea1a,max_output_tokens,4096,103.082299,116.152348,13.070049,false,false
6c637725ea1a,max_output_tokens,512,103.082299,95.158115,-7.924184,false,false
20fe1616e94f,max_output_tokens,1024,126.836884,109.044745,-17.792139,true,true
20fe1616e94f,max_output_tokens,4096,126.836884,114.947174,-11.889710,true,true
20fe1616e94f,max_output_tokens,512,126.836884,144.003035,17.166151,true,true
ba9747eb6dbb,max_output_tokens,1024,99.978445,106.749369,6.770923,true,true
ba9747eb6dbb,max_output_tokens,4096,99.978445,102.266185,2.287740,true,true
ba9747eb6dbb,max_output_tokens,512,99.978445,113.866145,13.887700,true,true
c54ac09d37dc,max_output_tokens,1024,115.495504,109.182617,-6.312887,true,true
c54ac09d37dc,max_output_tokens,4096,115.495504,91.517165,-23.978339,true,true
c54ac09d37dc,max_output_tokens,512,115.495504,78.959258,-36.536246,true,false
7ceebcf57445,max_output_tokens,1024,89.869912,113.560886,23.690973,true,true
7ceebcf57445,max_output_tokens,4096,89.869912,95.450601,5.580689,true,true
7ceebcf57445,max_output_tokens,512,89.869912,92.542266,2.672354,true,true
a4778bb7df2a,max_output_tokens,1024,89.287084,98.398765,9.111681,true,true
a4778bb7df2a,max_output_tokens,4096,89.287084,96.088705,6.801621,true,true
a4778bb7df2a,max_output_tokens,512,89.287084,88.273354,-1.013730,true,false
37cd3cd4914b,max_output_tokens,1024,114.328900,104.750549,-9.578351,false,false
37cd3cd4914b,max_output_tokens,4096,114.328900,95.528684,-18.800215,false,false
37cd3cd4914b,max_output_tokens,512,114.328900,104.173229,-10.155670,false,false
7524aa55ed93,observation_length,10000,210.457675,125.149267,-85.308408,false,false
7524aa55ed93,observation_length,25000,210.457675,113.627953,-96.829721,false,false
7524aa55ed93,observation_length,50000,210.457675,133.099891,-77.357784,false,false
3f2610c9e66a,observation_length,10000,191.193579,143.485993,-47.707587,true,true
3f2610c9e66a,observation_length,25000,191.193579,149.486206,-41.707373,true,true
3f2610c9e66a,observation_length,50000,191.193579,150.348174,-40.845405,true,true
d27d7a81ce69,observation_length,10000,97.958238,127.817411,29.859173,false,false
d27d7a81ce69,observation_length,25000,97.958238,124.288069,26.329831,false,false
d27d7a81ce69,observation_length,50000,97.958238,112.894157,14.935918,false,false
7b5b1d1f12e3,observation_length,10000,111.223839,113.241064,2.017226,true,true
7b5b1d1f12e3,observation_length,25000,111.223839,210.141596,98.917757,true,true
7b5b1d1f12e3,observation_length,50000,111.223839,120.441597,9.217759,true,true
2abc7f116091,observation_length,10000,122.462890,94.121472,-28.341419,true,true
2abc7f116091,observation_length,25000,122.462890,121.485270,-0.977620,true,true
2abc7f116091,observation_length,50000,122.462890,101.920731,-20.542159,true,true
4866fb0948e2,observation_length,10000,152.573765,132.262803,-20.310963,true,false
4866fb0948e2,observation_length,25000,152.573765,150.857545,-1.716220,true,true
4866fb0948e2,observation_length,50000,152.573765,107.326243,-45.247522,true,false
64afa1678c1f,observation_length,10000,1347.129159,1068.478220,-278.650939,false,false
64afa1678c1f,observation_length,25000,1347.129159,172.175632,-1174.953528,false,false
64afa1678c1f,observation_length,50000,1347.129159,170.218148,-1176.911011,false,false
509039418ed9,observation_length,10000,116.153768,117.146918,0.993150,true,true
509039418ed9,observation_length,25000,116.153768,109.868088,-6.285680,true,true
509039418ed9,observation_length,50000,116.153768,160.517344,44.363576,true,true
7666f43ecb5e,observation_length,10000,109.245458,147.936733,38.691276,true,false
7666f43ecb5e,observation_length,25000,109.245458,165.176128,55.930671,true,true
7666f43ecb5e,observation_length,50000,109.245458,109.400428,0.154971,true,true
b7b17a1cef28,observation_length,10000,228.009102,133.820681,-94.188421,true,false
b7b17a1cef28,observation_length,25000,228.009102,210.954961,-17.054142,true,true
b7b17a1cef28,observation_length,50000,228.009102,119.443154,-108.565948,true,true
53cb4f1183e3,observation_length,10000,192.600731,173.533249,-19.067481,true,true
53cb4f1183e3,observation_length,25000,192.600731,195.684834,3.084103,true,true
53cb4f1183e3,observation_length,50000,192.600731,181.139079,-11.461652,true,true
6c637725ea1a,observation_length,10000,103.082299,105.753705,2.671407,false,false
6c637725ea1a,observation_length,25000,103.082299,106.362250,3.279951,false,false
6c637725ea1a,observation_length,50000,103.082299,131.521852,28.439553,false,false
20fe1616e94f,observation_length,10000,126.836884,110.567403,-16.269482,true,true
20fe1616e94f,observation_length,25000,126.836884,102.956768,-23.880116,true,true
20fe1616e94f,observation_length,50000,126.836884,100.025862,-26.811022,true,true
ba9747eb6dbb,observation_length,10000,99.978445,101.304027,1.325582,true,true
ba9747eb6dbb,observation_length,25000,99.978445,112.535665,12.557220,true,true
ba9747eb6dbb,observation_length,50000,99.978445,98.862778,-1.115667,true,true
c54ac09d37dc,observation_length,10000,115.495504,93.512756,-21.982748,true,true
c54ac09d37dc,observation_length,25000,115.495504,110.140726,-5.354778,true,true
c54ac09d37dc,observation_length,50000,115.495504,112.767620,-2.727884,true,true
7ceebcf57445,observation_length,10000,89.869912,91.190688,1.320775,true,true
7ceebcf57445,observation_length,25000,89.869912,113.918056,24.048143,true,true
7ceebcf57445,observation_length,50000,89.869912,78.775093,-11.094819,true,true
a4778bb7df2a,observation_length,10000,89.287084,88.186064,-1.101020,true,true
a4778bb7df2a,observation_length,25000,89.287084,94.027435,4.740352,true,true
a4778bb7df2a,observation_length,50000,89.287084,97.030049,7.742966,true,true
37cd3cd4914b,observation_length,10000,114.328900,118.181853,3.852953,false,false
37cd3cd4914b,observation_length,25000,114.328900,102.476994,-11.851906,false,false
37cd3cd4914b,observation_length,50000,114.328900,104.242761,-10.086139,false,false
7524aa55ed93,temperature,0.2,210.457675,131.143932,-79.313742,false,false
7524aa55ed93,temperature,0.5,210.457675,228.613313,18.155638,false,false
7524aa55ed93,temperature,0.8,210.457675,121.077636,-89.380039,false,false
3f2610c9e66a,temperature,0.2,191.193579,114.041600,-77.151979,true,true
3f2610c9e66a,temperature,0.5,191.193579,133.467137,-57.726442,true,false
3f2610c9e66a,temperature,0.8,191.193579,105.464723,-85.728856,true,true
d27d7a81ce69,temperature,0.2,97.958238,124.618021,26.659783,false,false
d27d7a81ce69,temperature,0.5,97.958238,121.145021,23.186783,false,false
d27d7a81ce69,temperature,0.8,97.958238,145.825061,47.866823,false,false
7b5b1d1f12e3,temperature,0.2,111.223839,144.225804,33.001965,true,true
7b5b1d1f12e3,temperature,0.5,111.223839,115.567504,4.343666,true,true
7b5b1d1f12e3,temperature,0.8,111.223839,133.427218,22.203379,true,true
2abc7f116091,temperature,0.2,122.462890,107.139226,-15.323664,true,true
2abc7f116091,temperature,0.5,122.462890,114.475577,-7.987313,true,true
2abc7f116091,temperature,0.8,122.462890,145.803843,23.340953,true,true
4866fb0948e2,temperature,0.2,152.573765,120.807759,-31.766006,true,false
4866fb0948e2,temperature,0.5,152.573765,96.498442,-56.075323,true,false
4866fb0948e2,temperature,0.8,152.573765,98.086042,-54.487723,true,false
64afa1678c1f,temperature,0.2,1347.129159,132.490367,-1214.638792,false,false
64afa1678c1f,temperature,0.5,1347.129159,124.403178,-1222.725981,false,false
64afa1678c1f,temperature,0.8,1347.129159,123.215345,-1223.913814,false,false
509039418ed9,temperature,0.2,116.153768,142.746967,26.593200,true,true
509039418ed9,temperature,0.5,116.153768,91.909500,-24.244268,true,true
509039418ed9,temperature,0.8,116.153768,107.791674,-8.362094,true,true
7666f43ecb5e,temperature,0.2,109.245458,125.987996,16.742539,true,true
7666f43ecb5e,temperature,0.5,109.245458,88.504224,-20.741233,true,false
7666f43ecb5e,temperature,0.8,109.245458,112.308177,3.062720,true,true
b7b17a1cef28,temperature,0.2,228.009102,161.951445,-66.057657,true,true
b7b17a1cef28,temperature,0.5,228.009102,159.985845,-68.023257,true,false
b7b17a1cef28,temperature,0.8,228.009102,170.431524,-57.577578,true,true
53cb4f1183e3,temperature,0.2,192.600731,150.285038,-42.315692,true,true
53cb4f1183e3,temperature,0.5,192.600731,144.570619,-48.030111,true,true
53cb4f1183e3,temperature,0.8,192.600731,136.985422,-55.615309,true,true
6c637725ea1a,temperature,0.2,103.082299,77.648545,-25.433754,false,false
6c637725ea1a,temperature,0.5,103.082299,92.437390,-10.644908,false,false
6c637725ea1a,temperature,0.8,103.082299,109.111784,6.029485,false,false
20fe1616e94f,temperature,0.2,126.836884,100.986379,-25.850505,true,true
20fe1616e94f,temperature,0.5,126.836884,84.065821,-42.771063,true,true
20fe1616e94f,temperature,0.8,126.836884,127.870423,1.033539,true,true
ba9747eb6dbb,temperature,0.2,99.978445,111.591466,11.613021,true,true
ba9747eb6dbb,temperature,0.5,99.978445,119.853986,19.875541,true,true
ba9747eb6dbb,temperature,0.8,99.978445,113.656689,13.678244,true,false
c54ac09d37dc,temperature,0.2,115.495504,138.624582,23.129078,true,true
c54ac09d37dc,temperature,0.5,115.495504,127.255015,11.759511,true,true
c54ac09d37dc,temperature,0.8,115.495504,141.985552,26.490048,true,false
7ceebcf57445,temperature,0.2,89.869912,146.681188,56.811275,true,true
7ceebcf57445,temperature,0.5,89.869912,121.290314,31.420401,true,true
7ceebcf57445,temperature,0.8,89.869912,84.462910,-5.407003,true,true
a4778bb7df2a,temperature,0.2,89.287084,125.912979,36.625895,true,true
a4778bb7df2a,temperature,0.5,89.287084,97.327475,8.040391,true,true
a4778bb7df2a,temperature,0.8,89.287084,118.994414,29.707330,true,true
37cd3cd4914b,temperature,0.2,114.328900,125.521572,11.192673,false,false
37cd3cd4914b,temperature,0.5,114.328900,98.838756,-15.490144,false,false
37cd3cd4914b,temperature,0.8,114.328900,171.088815,56.759915,false,false
