coarse_coverage_proportion,delta_ci95_high_percentage_points,delta_ci95_low_percentage_points,delta_percentage_points,hybrid_coverage_proportion,metric,n_clusters,n_events,original_class,scope
0.6774360077436008,1.128821107346957,0.44618766428199763,0.7614540761454069,0.6850505485050549,event_weighted_coverage,545,23245,,overall
0.6856052475056733,0.7638834946974131,0.371261057641587,0.5645399375167837,0.6912506468808411,instance_weighted_coverage,545,23245,,overall
0.0,0.0,0.0,0.0,0.0,strict_all_events_gate,545,23245,,overall
0.9058979456593771,1.833704392573707,-0.07308414890493357,0.7952286282306154,0.9138502319416832,event_weighted_coverage,462,1509,patch,original_class
0.9048587650367836,2.048226254750572,-0.16485774487367122,0.8955121737076688,0.9138138867738603,instance_weighted_coverage,462,1509,patch,original_class
0.8116883116883117,3.26815223906156,-0.6451612903225714,1.2987012987012991,0.8246753246753247,strict_all_events_gate,462,1509,patch,original_class
0.9435243458098708,1.548480095882811,0.4477569028333528,1.0102683007618518,0.9536270288174893,event_weighted_coverage,536,6038,read,original_class
0.9413550855577449,1.5287252493414207,0.23709869394734326,0.8874481897275022,0.95022956745502,instance_weighted_coverage,536,6038,read,original_class
0.710820895522388,5.838041431261765,0.18586498472318497,2.985074626865669,0.7406716417910447,strict_all_events_gate,536,6038,read,original_class
0.8963992419456728,0.6651573535638514,0.14244381245802434,0.37902716361338795,0.9001895135818067,event_weighted_coverage,484,3166,search,original_class
0.8883637615437728,1.2597073461956763,0.16804450106886248,0.6368063754427444,0.8947318252982003,instance_weighted_coverage,484,3166,search,original_class
0.7272727272727273,2.621100114043653,0.4264392324093813,1.446280991735538,0.7417355371900827,strict_all_events_gate,484,3166,search,original_class
0.2962676464900406,3.315809820840998,0.46768544816752444,1.7791529684780483,0.3140591761748211,event_weighted_coverage,527,5171,shell,original_class
0.31035685012539466,1.4353674460151293,0.2695687088596198,0.8212502599607263,0.3185693527250019,instance_weighted_coverage,527,5171,shell,original_class
0.011385199240986717,0.0,0.0,0.0,0.011385199240986717,strict_all_events_gate,527,5171,shell,original_class
0.09421841541755889,0.0,0.0,0.0,0.09421841541755889,event_weighted_coverage,318,1401,test,original_class
0.07034897641941495,0.0,0.0,0.0,0.07034897641941495,instance_weighted_coverage,318,1401,test,original_class
0.006289308176100629,0.0,0.0,0.0,0.006289308176100629,strict_all_events_gate,318,1401,test,original_class
0.5368620037807184,0.0,0.0,0.0,0.5368620037807184,event_weighted_coverage,545,3174,traversal,original_class
0.5460740567946429,0.0,0.0,0.0,0.5460740567946429,instance_weighted_coverage,545,3174,traversal,original_class
0.1688073394495413,0.0,0.0,0.0,0.1688073394495413,strict_all_events_gate,545,3174,traversal,original_class
0.8890882986360373,0.0,0.0,0.0,0.8890882986360373,event_weighted_coverage,518,2786,write,original_class
0.893021573024675,0.0,0.0,0.0,0.893021573024675,instance_weighted_coverage,518,2786,write,original_class
0.7258687258687259,0.0,0.0,0.0,0.7258687258687259,strict_all_events_gate,518,2786,write,original_class
