grouping,group,n,miss_count,within25_rate,abs_error_ms,error_mass_share_pct,miss_share_pct,mean_ape_pct,median_ape_pct,p95_ape_pct,max_ape_pct,delta_within25_pp,delta_abs_error_ms,delta_mean_ape_pp
original_class,shell,5445,3133,0.4246097337006428,2697478.043851813,49.169747146717974,56.7572463768116,53.76196622420617,31.11063236499322,217.38419647871896,789.58888020386,4.113865932047755,-521816.89541323856,-25.15751919517478
original_class,test,1541,549,0.6437378325762492,1356758.9570659874,24.731061300028216,9.945652173913043,41.92079772698585,15.067494389729555,104.77622623918809,4052.8758061502117,22.517845554834526,-470683.62472236296,-92.43579837329293
original_class,traversal,3299,686,0.79205819945438,1065828.6460009294,19.42797093197525,12.427536231884059,40.99250171568902,12.36063204178682,81.93664775822025,4432.955069449891,15.671415580478932,-1201572.7261223875,-59.622140159025314
original_class,read,6335,327,0.9483820047355959,153387.13497967058,2.7959473700629034,5.923913043478261,11.709573063500978,10.679325751112875,25.117877852370235,70.12661852990418,0.0,0.0,0.0
original_class,write,2923,320,0.8905234348272323,107459.01408917962,1.9587675842046002,5.797101449275362,13.906288892276109,11.589915814825575,31.388068604169444,283.41264257230023,0.0,0.0,0.0
original_class,search,3320,360,0.891566265060241,59439.98527175245,1.083474637681709,6.521739130434782,8.667959540000096,3.423383519047296,42.9254195474214,92.8220033208215,0.0,0.0,0.0
original_class,patch,1563,145,0.9072296865003199,45700.51793751372,0.8330310293287575,2.6268115942028984,13.109213937918378,11.818584272408508,28.197407865961395,74.4913302749099,0.0,0.0,0.0
semantic_class,shell,5423,3138,0.4213534943758067,2650387.666346788,48.31138169672183,56.84782608695652,52.560771381970724,31.20970287114143,211.86504138905082,789.58888020386,4.351834777798258,-596738.6003319798,-26.700449473142783
semantic_class,test,1151,520,0.5482189400521286,1392010.0036618183,25.37361891109932,9.420289855072465,52.27422283897804,20.93954610306825,134.55007877695056,1281.7341407744868,29.626411815812336,-406364.2368032471,-123.84734616868673
semantic_class,traversal,1898,635,0.6654373024236038,1037527.9809819147,18.91210517868745,11.503623188405797,65.26159846601715,15.43672296367793,185.98716743655214,4432.955069449891,27.239199157007377,-1196229.8129034848,-101.45843650456217
semantic_class,editor,12492,813,0.9349183477425552,324424.6847398509,5.913627268689082,14.728260869565219,12.021595177728456,10.836728090152906,26.523136273061276,72.26326636920408,0.032020493115592075,-2343.9348106983816,-0.08695539314616951
semantic_class,search,3394,360,0.8939304655274013,59727.101485021194,1.088708204509185,6.521739130434782,8.545508332913773,3.408149328175197,41.98617337646711,92.8220033208215,0.058927519151441565,-453.7917418674624,-0.11314118987061583
semantic_class,metadata,68,54,0.20588235294117652,21974.86198145998,0.4005587402926683,0.9782608695652175,123.75358195043614,56.44063876297935,397.84117627251214,401.57581231988183,-17.647058823529406,8057.130333292662,77.40434842173565
action_mechanism,shell/exe=python/op=python_script/pager=none/mode=normal,3595,2210,0.3852573018080667,1818294.5865963015,33.14395283585772,40.03623188405797,54.315514229226785,33.924423073917225,205.08849512829087,789.58888020386,6.063977746870652,-302371.11255934485,-15.874461876486627
action_mechanism,test/exe=python/runner=pytest/op=test/mode=normal,896,412,0.5401785714285714,1284518.8032235035,23.414264632722304,7.463768115942029,43.90179019072693,21.71665169944059,99.0404947524303,1281.7341407744868,36.16071428571428,-390984.0044561324,-155.62701097827932
action_mechanism,traversal/exe=find/find_exec=per_file/pipe=0/recursive=1/mode=normal,467,236,0.4946466809421841,716671.9452778322,13.063527399889137,4.275362318840579,176.09594234265037,25.401321927004332,993.6205132021813,4432.955069449891,29.764453961456095,-543509.6169456597,40.53715337448233
action_mechanism,shell/exe=python/op=python_inline/pager=none/mode=normal,937,573,0.3884738527214514,498076.07508926257,9.078952367300209,10.380434782608695,55.659188858924274,31.373761115006086,240.52311262733758,550.7023545150914,0.4268943436499417,-28125.0624374263,-4.8346498073465085
action_mechanism,traversal/exe=find/find_exec=per_file/pipe=2/recursive=1/mode=piped,119,52,0.5630252100840336,207521.4406825381,3.7827098497204967,0.9420289855072465,114.79692830369852,22.56817344846618,356.92379412638434,4052.8758061502117,42.01680672268907,-207035.70595610642,39.45205476016987
action_mechanism,editor/exe=str_replace_editor/op=editor_view,7878,383,0.9513835998984513,190074.6042324662,3.464688155821844,6.938405797101449,11.542092932285678,10.561099211145613,24.72224019828718,62.19586762996251,-0.03808073115004751,-337.0472083890345,-0.024393393894358795
action_mechanism,editor/exe=str_replace_editor/op=editor_write,2981,281,0.9057363300905736,86666.16637524749,1.579754651408169,5.090579710144928,12.76965266923391,11.284739176202562,29.270109653595146,72.03184811442281,0.10063737001007045,-310.97805339049955,-0.03910306255150786
action_mechanism,shell/exe=python3/op=python_inline/pager=none/mode=normal,45,38,0.15555555555555556,76795.06102226696,1.399823713556454,0.6884057971014492,129.57095721426094,83.57626621205864,351.70940942571957,403.77978386899355,0.0,156.6041931964719,7.133105203816129
action_mechanism,test/exe=python/runner=runtests.py/op=test/mode=normal,70,39,0.44285714285714284,66722.17249545065,1.2162146632327646,0.7065217391304348,102.9476551835503,33.701884645189104,590.1542778310828,670.4990336740518,-2.857142857142858,5754.846290879868,43.32448445985018
