fold,event_id,instance_id,original_class,observed_ms,plain_prediction_ms,stratified_prediction_ms
0,assignment-case-v1:164bc0089deb9287c43c4a4705f118e8b0201a4c0a950759f3df3f1301d664df-tool-0028,astropy__astropy-14539,search,123.48322899924824,120.3497975038772,120.41823800245766
0,assignment-case-v1:164bc0089deb9287c43c4a4705f118e8b0201a4c0a950759f3df3f1301d664df-tool-0029,astropy__astropy-14539,search,120.90787899796851,120.3497975038772,120.41823800245766
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0000,pydata__xarray-3364,traversal,119.06570900100633,215.0155929957691,174.38824599958025
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0001,pydata__xarray-3364,traversal,120.96423899856745,215.0155929957691,174.38824599958025
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0002,pydata__xarray-3364,traversal,183.69260799954645,215.0155929957691,194.4453394935408
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0003,pydata__xarray-3364,traversal,174.6493980026571,215.0155929957691,194.4453394935408
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0004,pydata__xarray-3364,read,194.6619379996264,192.1172669972293,194.4453394935408
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0005,pydata__xarray-3364,read,182.04337900169776,192.1172669972293,194.4453394935408
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0006,pydata__xarray-3364,read,182.84335800126428,192.1172669972293,194.4453394935408
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0007,pydata__xarray-3364,read,207.2185580000223,192.1172669972293,194.4453394935408
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0008,pydata__xarray-3364,read,183.12278899975354,192.1172669972293,194.4453394935408
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0009,pydata__xarray-3364,read,280.0906969969219,192.1172669972293,194.4453394935408
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0010,pydata__xarray-3364,traversal,120.63297900022008,215.0155929957691,174.38824599958025
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0011,pydata__xarray-3364,read,195.9721180028282,192.1172669972293,194.4453394935408
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0012,pydata__xarray-3364,search,114.96808899755706,120.3497975038772,120.41823800245766
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0013,pydata__xarray-3364,read,165.63756899995496,192.1172669972293,194.4453394935408
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0014,pydata__xarray-3364,read,177.9139380014385,192.1172669972293,194.4453394935408
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0015,pydata__xarray-3364,write,211.3438079977641,210.17419599957066,210.19215800333768
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0016,pydata__xarray-3364,shell,2384.1716579991044,656.0678064979584,724.5089200041548
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0017,pydata__xarray-3364,read,194.40708800175344,192.1172669972293,194.4453394935408
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0018,pydata__xarray-3364,patch,168.46719900058815,206.49217799655162,206.59944599901792
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0019,pydata__xarray-3364,read,187.6268180021725,192.1172669972293,194.4453394935408
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0020,pydata__xarray-3364,patch,204.34364800166804,206.49217799655162,206.59944599901792
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0021,pydata__xarray-3364,read,180.2433379998547,192.1172669972293,194.4453394935408
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0022,pydata__xarray-3364,patch,170.0280789991666,206.49217799655162,206.59944599901792
0,assignment-case-v1:17e6cc971acecd406a23c9efb228baad37bd4ab10af24bdd57395821624636d6-tool-0023,pydata__xarray-3364,read,186.75236800118,192.1172669972293,194.4453394935408
