cohort,suite,batch,instance_id,repository,status,completed,submitted,official_resolved,source_file,source_sha256
baseline_population,lite,lite-diverse-batch04-6,pydata__xarray-4248,pydata/xarray,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-lite-b04-lite-diverse-batch04-6-worker-00.json,a97e7013a2e30d5f0ce0a47156dc3f0c1c69c4e0967ce0c1505508b7899d42fb
baseline_population,lite,lite-diverse-batch05-6,django__django-11422,django/django,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-lite-b05-lite-diverse-batch05-6-worker-00.json,a4f5632acb1e10e91a833ec695c0ff1784b18dec673acc18375df279c471563f
baseline_population,lite,lite-diverse-batch05-6,django__django-11564,django/django,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-lite-b05-lite-diverse-batch05-6-worker-00.json,a4f5632acb1e10e91a833ec695c0ff1784b18dec673acc18375df279c471563f
baseline_population,lite,lite-diverse-batch05-6,django__django-11583,django/django,resolved,True,True,True,sweagent_output.gcp-h100-diverse-lite-b05-lite-diverse-batch05-6-worker-00.json,a4f5632acb1e10e91a833ec695c0ff1784b18dec673acc18375df279c471563f
baseline_population,lite,lite-diverse-batch05-6,django__django-11620,django/django,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-lite-b05-lite-diverse-batch05-6-worker-00.json,a4f5632acb1e10e91a833ec695c0ff1784b18dec673acc18375df279c471563f
baseline_population,lite,lite-diverse-batch05-6,django__django-11630,django/django,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-lite-b05-lite-diverse-batch05-6-worker-00.json,a4f5632acb1e10e91a833ec695c0ff1784b18dec673acc18375df279c471563f
baseline_population,lite,lite-diverse-batch05-6,django__django-11742,django/django,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-lite-b05-lite-diverse-batch05-6-worker-00.json,a4f5632acb1e10e91a833ec695c0ff1784b18dec673acc18375df279c471563f
baseline_population,lite,lite-production-2,astropy__astropy-12907,astropy/astropy,resolved,True,True,True,sweagent_output.gcp-lite-production-2-lite-production-2-worker-00.json,ac336c3512d1f0de40d2dda9ea4256217030f7b893f4e81355f4b7eed9810f76
baseline_population,lite,lite-production-2,astropy__astropy-14182,astropy/astropy,unresolved,True,True,False,sweagent_output.gcp-lite-production-2-lite-production-2-worker-01.json,9174b1c0e4efd77b02e6c9baa6ff13d91276cae55fa2b780b39cd6f2f6fcba48
baseline_population,verified,verified-diverse-6,django__django-10097,django/django,incomplete,False,False,False,sweagent_output.gcp-h100-diverse-verified-verified-diverse-6-worker-00.json,dadf55824c6854b56ce9e7255ba2f76c5e31c8e1028247b8c38892bd35197bc7
baseline_population,verified,verified-diverse-6,matplotlib__matplotlib-13989,matplotlib/matplotlib,resolved,True,True,True,sweagent_output.gcp-h100-diverse-verified-verified-diverse-6-worker-00.json,dadf55824c6854b56ce9e7255ba2f76c5e31c8e1028247b8c38892bd35197bc7
baseline_population,verified,verified-diverse-6,pytest-dev__pytest-10051,pytest-dev/pytest,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-verified-diverse-6-worker-00.json,dadf55824c6854b56ce9e7255ba2f76c5e31c8e1028247b8c38892bd35197bc7
baseline_population,verified,verified-diverse-6,scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,resolved,True,True,True,sweagent_output.gcp-h100-diverse-verified-verified-diverse-6-worker-00.json,dadf55824c6854b56ce9e7255ba2f76c5e31c8e1028247b8c38892bd35197bc7
baseline_population,verified,verified-diverse-6,sphinx-doc__sphinx-10323,sphinx-doc/sphinx,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-verified-diverse-6-worker-00.json,dadf55824c6854b56ce9e7255ba2f76c5e31c8e1028247b8c38892bd35197bc7
baseline_population,verified,verified-diverse-6,sympy__sympy-11618,sympy/sympy,resolved,True,True,True,sweagent_output.gcp-h100-diverse-verified-verified-diverse-6-worker-00.json,dadf55824c6854b56ce9e7255ba2f76c5e31c8e1028247b8c38892bd35197bc7
baseline_population,verified,verified-diverse-next-6,django__django-10554,django/django,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-next-verified-diverse-next-6-worker-00.json,d05e15db864bfec78f3f44071a40a8618c717bc86c773115b16e0582c3ee415d
baseline_population,verified,verified-diverse-next-6,matplotlib__matplotlib-14623,matplotlib/matplotlib,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-next-verified-diverse-next-6-worker-00.json,d05e15db864bfec78f3f44071a40a8618c717bc86c773115b16e0582c3ee415d
baseline_population,verified,verified-diverse-next-6,mwaskom__seaborn-3069,mwaskom/seaborn,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-next-verified-diverse-next-6-worker-00.json,d05e15db864bfec78f3f44071a40a8618c717bc86c773115b16e0582c3ee415d
baseline_population,verified,verified-diverse-next-6,pallets__flask-5014,pallets/flask,resolved,True,True,True,sweagent_output.gcp-h100-diverse-verified-next-verified-diverse-next-6-worker-00.json,d05e15db864bfec78f3f44071a40a8618c717bc86c773115b16e0582c3ee415d
baseline_population,verified,verified-diverse-next-6,psf__requests-1142,psf/requests,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-next-verified-diverse-next-6-worker-00.json,d05e15db864bfec78f3f44071a40a8618c717bc86c773115b16e0582c3ee415d
baseline_population,verified,verified-diverse-next-6,pydata__xarray-2905,pydata/xarray,resolved,True,True,True,sweagent_output.gcp-h100-diverse-verified-next-verified-diverse-next-6-worker-00.json,d05e15db864bfec78f3f44071a40a8618c717bc86c773115b16e0582c3ee415d
baseline_population,verified,verified-diverse-batch03-6,django__django-11119,django/django,resolved,True,True,True,sweagent_output.gcp-h100-diverse-verified-b03-verified-diverse-batch03-6-worker-00.json,15d76baef379e9481fc62ec49040fe0d755b7853bab98893c025712a80cd52b3
baseline_population,verified,verified-diverse-batch03-6,matplotlib__matplotlib-20488,matplotlib/matplotlib,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-b03-verified-diverse-batch03-6-worker-00.json,15d76baef379e9481fc62ec49040fe0d755b7853bab98893c025712a80cd52b3
baseline_population,verified,verified-diverse-batch03-6,mwaskom__seaborn-3187,mwaskom/seaborn,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-b03-verified-diverse-batch03-6-worker-00.json,15d76baef379e9481fc62ec49040fe0d755b7853bab98893c025712a80cd52b3
baseline_population,verified,verified-diverse-batch03-6,psf__requests-1724,psf/requests,incomplete,False,False,False,sweagent_output.gcp-h100-diverse-verified-b03-verified-diverse-batch03-6-worker-00.json,15d76baef379e9481fc62ec49040fe0d755b7853bab98893c025712a80cd52b3
baseline_population,verified,verified-diverse-batch03-6,pydata__xarray-3095,pydata/xarray,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-b03-verified-diverse-batch03-6-worker-00.json,15d76baef379e9481fc62ec49040fe0d755b7853bab98893c025712a80cd52b3
baseline_population,verified,verified-diverse-batch03-6,pylint-dev__pylint-4551,pylint-dev/pylint,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-b03-verified-diverse-batch03-6-worker-00.json,15d76baef379e9481fc62ec49040fe0d755b7853bab98893c025712a80cd52b3
baseline_population,verified,verified-diverse-batch04-6,django__django-11138,django/django,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-b04-verified-diverse-batch04-6-worker-00.json,3b17d4bcd74ac947a85cdb681af941d10ea4e5f223280731bc1325377e89cb19
baseline_population,verified,verified-diverse-batch04-6,matplotlib__matplotlib-20676,matplotlib/matplotlib,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-b04-verified-diverse-batch04-6-worker-00.json,3b17d4bcd74ac947a85cdb681af941d10ea4e5f223280731bc1325377e89cb19
baseline_population,verified,verified-diverse-batch04-6,psf__requests-1766,psf/requests,resolved,True,True,True,sweagent_output.gcp-h100-diverse-verified-b04-verified-diverse-batch04-6-worker-00.json,3b17d4bcd74ac947a85cdb681af941d10ea4e5f223280731bc1325377e89cb19
baseline_population,verified,verified-diverse-batch04-6,pydata__xarray-3151,pydata/xarray,resolved,True,True,True,sweagent_output.gcp-h100-diverse-verified-b04-verified-diverse-batch04-6-worker-00.json,3b17d4bcd74ac947a85cdb681af941d10ea4e5f223280731bc1325377e89cb19
baseline_population,verified,verified-diverse-batch04-6,pylint-dev__pylint-4604,pylint-dev/pylint,empty_patch,False,True,False,sweagent_output.gcp-h100-diverse-verified-b04-verified-diverse-batch04-6-worker-00.json,3b17d4bcd74ac947a85cdb681af941d10ea4e5f223280731bc1325377e89cb19
baseline_population,verified,verified-diverse-batch04-6,pytest-dev__pytest-10081,pytest-dev/pytest,resolved,True,True,True,sweagent_output.gcp-h100-diverse-verified-b04-verified-diverse-batch04-6-worker-00.json,3b17d4bcd74ac947a85cdb681af941d10ea4e5f223280731bc1325377e89cb19
baseline_population,verified,verified-diverse-batch05-6,django__django-11141,django/django,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-b05-verified-diverse-batch05-6-worker-00.json,cabf67a16106c19c3bfe8bc4d5cd052e6f3c4054e03c0cef11e70657bed8f023
baseline_population,verified,verified-diverse-batch05-6,django__django-11149,django/django,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-b05-verified-diverse-batch05-6-worker-00.json,cabf67a16106c19c3bfe8bc4d5cd052e6f3c4054e03c0cef11e70657bed8f023
baseline_population,verified,verified-diverse-batch05-6,django__django-11163,django/django,resolved,True,True,True,sweagent_output.gcp-h100-diverse-verified-b05-verified-diverse-batch05-6-worker-00.json,cabf67a16106c19c3bfe8bc4d5cd052e6f3c4054e03c0cef11e70657bed8f023
baseline_population,verified,verified-diverse-batch05-6,django__django-11206,django/django,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-b05-verified-diverse-batch05-6-worker-00.json,cabf67a16106c19c3bfe8bc4d5cd052e6f3c4054e03c0cef11e70657bed8f023
baseline_population,verified,verified-diverse-batch05-6,django__django-11211,django/django,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-b05-verified-diverse-batch05-6-worker-00.json,cabf67a16106c19c3bfe8bc4d5cd052e6f3c4054e03c0cef11e70657bed8f023
baseline_population,verified,verified-diverse-batch05-6,django__django-11239,django/django,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-b05-verified-diverse-batch05-6-worker-00.json,cabf67a16106c19c3bfe8bc4d5cd052e6f3c4054e03c0cef11e70657bed8f023
baseline_population,verified,verified-extra-1,astropy__astropy-12907,astropy/astropy,unresolved,True,True,False,sweagent_output.gcp-h100-diverse-verified-extra-1-verified-extra-1-worker-00.json,8e2797f86a574333dba5893a7ad1f49f68c87080438c1a6b8b91571f0a4723ad
primary_population_extension,verified,additional-verified-14365,astropy__astropy-14365,astropy/astropy,unresolved,True,True,False,sweagent_output.gcp-h100-additional-verified-20260823-additional-verified-14365-worker-00.json,bce063f26f9f3fca56f5bb3e9234f5643a035dd0c743cdd6cd55bfc53fb22c68
