case_id,instance_id,outer_ms,predicted_accounted_ms,observed_accounted_ms,unaccounted_ms_diagnostic_only,e2e_error_percent,within25
assignment-production-v2:04e38fba0a5c3f03c0580bb5a5bb26914c2b16c10a0bc80f5b3b63e014426da8,django__django-11797,205398.632266,155111.432054852,189434.12233600003,15964.509929999971,24.48273372435311,True
assignment-production-v2:38afa46241a3f757d880ae6fba2bc1e088f83b39004f671b1568ec1a177c6eec,django__django-11815,199009.021203,148809.4684220021,186565.20715200005,12443.814050999965,25.224762414057423,False
assignment-production-v2:591763a03f067e26db3c77382530365ef68f283a7e0370bce0a64eff1338ccc4,django__django-11815,162562.750741,113723.07624402543,153854.88278899997,8707.86795200003,30.043582723810726,False
assignment-production-v2:0435ea5d4c16c43f1a2235bca066f1fe3e80faa09de5e56f299e460f1411aec4,django__django-11815,190140.984778,139979.4171164225,177022.28748000003,13118.697297999985,26.381249534467223,False
assignment-production-v2:aeffe5c8cdd9966ec37c440bc6c26f905e829714a8bea23e064015a59d1fde33,django__django-11815,200150.257311,148809.4684220021,187790.78066699998,12359.47664400001,25.65112310059282,False
assignment-production-v2:1aa9c8428543023958ce2f5ccc0f84df342a845ff0cb3f7d95f5522a11431cc6,django__django-11815,165265.49463,161314.52249040277,157867.41794899994,7398.076681000064,2.3906818228709827,True
assignment-production-v2:5817aefd514ba1caba9413ebe94dd2fd674bef7818bb076421ff62d5e4619a12,django__django-11815,260646.236587,247792.36281144462,250254.457006,10391.77958099998,4.931540138031087,True
assignment-production-v2:69bcb3565888715362f789c84b711483b0652bff11f2b1abff901f5913ac3f64,django__django-11815,182873.585694,179079.79847289293,174675.190244,8198.39545000001,2.074540840170966,True
assignment-production-v2:cb436c2a2a5b447aa018c7d548c6848a1b059ec660200c07ae7efc5383fd60f4,django__django-11815,152335.890718,148840.08723025222,144034.07413500003,8301.816582999978,2.294799650477067,True
assignment-production-v2:b45833d97ed9a34bbc008ff457f0fbb5fc26107447e435e825f47399b5d9b6f0,django__django-11815,193204.2958,189399.90870164853,182227.91901200006,10976.376787999936,1.9691006779112539,True
assignment-production-v2:e49a664bebdfdfdb6d3b25451bb990787a532dbb030078efee24433c87403c1f,django__django-11815,137231.194096,132758.12021904843,130543.01599300008,6688.178102999911,3.259516836836983,True
assignment-production-v2:56b4d5c6f0a285e14ab7ba7f9595be347668ee70994bcf0119cadf8889ee05ba,django__django-11815,160202.136233,157533.096743272,153208.27452699994,6993.861706000054,1.6660448808535904,True
assignment-production-v2:1ed9f91667b4b50e1b34416b5f65e973a09d21972d3eec746350ff8572d4396e,django__django-11815,126094.734331,123304.62252245533,118164.28347400001,7930.450856999989,2.2127108029908626,True
assignment-production-v2:f61bf3bd4b9b946c8956ed91c8171125cb417d1fc3699ae2572795f102eeeaf3,django__django-11964,321373.532262,287859.9970267758,302512.1584839999,18861.373778000125,10.42821883909914,True
assignment-production-v2:9cc942e1a586e828f860a4c3f025fca2600fdbe7ea78af58046042d5b3928048,django__django-11999,204150.37797,199524.94956227558,193705.12961799995,10445.248352000053,2.265696715194978,True
assignment-production-v2:2b664139cdbda0eb13b49a55d3757e7e6910451e43d74326ea435a30869e0fca,django__django-12113,241283.713815,140103.88219980928,233358.62705100002,7925.086763999978,41.933966456090175,False
